transaction_id,date,time,day_of_week,month,quarter,account_id,account_holder,entity_type,sector,originating_bank,account_country,risk_rating,is_pep,counterparty_id,counterparty_bank,counterparty_country,transaction_type,amount_gbp,currency,reference,purpose,fraud_type,is_fraud
TX100020,2023-03-31,11:05:22,Friday,March,Q1,ACC10101,Entity_101,Trust,Import/Export,Starling,UAE,Low,1,ACC10014,Virgin Money,Singapore,Wire Transfer,1877.46,GBP,REF59980,Trade Settlement,None,0
TX100021,2023-06-29,13:26:16,Thursday,June,Q2,ACC10108,Entity_108,Corporate,Technology,Santander UK,UK,Low,0,ACC10092,Virgin Money,BVI,Loan Disbursement,199278.4,USD,REF73586,Intercompany Transfer,High-Risk Jurisdiction,1
TX100022,2023-12-05,10:38:58,Tuesday,December,Q4,ACC10084,Entity_084,Corporate,Manufacturing,NatWest,France,Low,0,ACC10119,Santander UK,UK,Internal Transfer,4087.56,GBP,REF58695,Repayment,Velocity,1
TX100023,2023-03-22,09:33:24,Wednesday,March,Q1,ACC10090,Entity_090,Individual,Import/Export,Monzo,UK,Medium,0,ACC10092,Virgin Money,Cyprus,Wire Transfer,24846.87,EUR,REF79226,Intercompany Transfer,None,0
TX100024,2023-10-24,17:24:20,Tuesday,October,Q4,ACC10009,Entity_009,Trust,Hospitality,Starling,Panama,Low,0,ACC10015,Santander UK,UK,CHAPS,325.21,GBP,REF22350,Consultancy Fee,None,0
TX100025,2023-10-11,16:45:39,Wednesday,October,Q4,ACC10057,Entity_057,Charity,Real Estate,Starling,USA,Low,0,ACC10104,Starling,Netherlands,Loan Disbursement,250000,USD,REF67126,Investment,Round Number,1
TX100026,2023-12-07,13:58:53,Thursday,December,Q4,ACC10103,Entity_103,SME,Retail,NatWest,UK,Low,1,ACC10046,Metro Bank,UK,BACS,275507.87,USD,REF66099,Consultancy Fee,None,0
TX100027,2023-06-22,13:50:13,Thursday,June,Q2,ACC10108,Entity_108,Corporate,Technology,Santander UK,UK,Low,0,ACC10088,Virgin Money,BVI,CHAPS,11616.45,USD,REF34216,Repayment,None,0
TX100028,2023-12-29,08:29:13,Friday,December,Q4,ACC10117,Entity_117,Individual,Hospitality,Barclays,UK,Low,0,ACC10080,Lloyds,UAE,Wire Transfer,11344.46,GBP,REF42723,Intercompany Transfer,None,0
TX100029,2023-12-23,15:25:01,Saturday,December,Q4,ACC10040,Entity_040,SPV,Manufacturing,HSBC,UK,Low,0,ACC10043,Santander UK,UK,CHAPS,9745.75,EUR,REF42217,Trade Settlement,Structuring,1
TX100030,2023-05-31,12:10:11,Wednesday,May,Q2,ACC10063,Entity_063,SME,Manufacturing,Starling,UK,High,0,ACC10046,Metro Bank,UK,Loan Disbursement,37152.35,GBP,REF37612,Investment,None,0
TX100031,2023-02-14,09:23:40,Tuesday,February,Q1,ACC10114,Entity_114,Individual,Construction,Santander UK,Netherlands,Medium,0,ACC10060,Starling,Cyprus,Loan Disbursement,480.78,GBP,REF67496,Loan Payment,None,0
TX100032,2023-01-22,10:32:39,Sunday,January,Q1,ACC10113,Entity_113,LLP,Professional Services,Metro Bank,UAE,Low,0,ACC10046,Metro Bank,UK,BACS,318223.65,GBP,REF54280,Unknown,None,0
TX100033,2023-02-21,09:11:27,Tuesday,February,Q1,ACC10040,Entity_040,SPV,Manufacturing,HSBC,UK,Low,0,ACC10085,TSB,UK,BACS,9562.55,GBP,REF96817,Property Purchase,Structuring,1
TX100034,2023-02-11,11:56:41,Saturday,February,Q1,ACC10089,Entity_089,Individual,Hospitality,Metro Bank,Cayman Islands,Medium,0,ACC10115,Metro Bank,UK,Loan Disbursement,25000,GBP,REF47128,Loan Payment,Round Number,1
TX100035,2023-01-23,12:54:05,Monday,January,Q1,ACC10081,Entity_081,SPV,Construction,Virgin Money,UK,Low,0,ACC10004,Starling,BVI,CHAPS,350706.09,GBP,REF75005,Repayment,High-Risk Jurisdiction,1
TX100036,2023-05-04,10:19:04,Thursday,May,Q2,ACC10024,Entity_024,SPV,Import/Export,Starling,UAE,Medium,0,ACC10065,Santander UK,Cyprus,BACS,389794.23,GBP,REF97040,Intercompany Transfer,High-Risk Jurisdiction,1
TX100037,2023-04-15,18:04:40,Saturday,April,Q2,ACC10077,Entity_077,Partnership,Construction,Barclays,Cyprus,Low,0,ACC10090,Monzo,UK,Internal Transfer,133.62,USD,REF24114,Repayment,None,0
TX100038,2023-03-14,18:34:02,Tuesday,March,Q1,ACC10009,Entity_009,Trust,Hospitality,Starling,Panama,Low,0,ACC10065,Santander UK,UK,Loan Repayment,83172.59,GBP,REF44621,Intercompany Transfer,None,0
TX100039,2023-09-24,10:19:40,Sunday,September,Q3,ACC10024,Entity_024,SPV,Import/Export,Starling,UAE,Medium,0,ACC10073,Starling,UK,Wire Transfer,384.13,GBP,REF79700,Repayment,None,0
TX100040,2023-08-23,16:35:30,Wednesday,August,Q3,ACC10089,Entity_089,Individual,Hospitality,Metro Bank,Cayman Islands,Medium,0,ACC10118,Metro Bank,Cyprus,CHAPS,161283.31,GBP,REF54651,Property Purchase,None,0
TX100041,2023-10-12,14:45:57,Thursday,October,Q4,ACC10104,Entity_104,Corporate,Logistics,Starling,Netherlands,Medium,0,ACC10005,Metro Bank,UK,Wire Transfer,162474.0,GBP,REF26265,Intercompany Transfer,None,0
TX100042,2023-05-06,16:48:19,Saturday,May,Q2,ACC10105,Entity_105,Individual,Retail,HSBC,Malta,Low,0,ACC10097,Starling,UK,SWIFT,14180.22,GBP,REF60246,Trade Settlement,None,0
TX100043,2023-01-26,16:52:11,Thursday,January,Q1,ACC10055,Entity_055,Charity,Finance,NatWest,UK,Low,0,ACC10081,Virgin Money,UK,SWIFT,167.75,GBP,REF93339,Property Purchase,None,0
TX100044,2023-05-01,15:26:38,Monday,May,Q2,ACC10012,Entity_012,SME,Retail,Barclays,UK,High,0,ACC10084,NatWest,France,SWIFT,12107.01,GBP,REF96038,Unknown,None,0
TX100045,2023-10-22,17:40:55,Sunday,October,Q4,ACC10115,Entity_115,Trust,Logistics,Metro Bank,UK,High,0,ACC10047,HSBC,UK,FX Settlement,107.43,GBP,REF66125,Unknown,None,0
TX100046,2023-02-22,17:09:12,Wednesday,February,Q1,ACC10032,Entity_032,LLP,Retail,Metro Bank,UK,Medium,1,ACC10096,NatWest,Isle of Man,Loan Repayment,1317808.14,USD,REF47823,Consultancy Fee,None,0
TX100047,2023-06-24,15:09:08,Saturday,June,Q2,ACC10042,Entity_042,Partnership,Import/Export,NatWest,BVI,Low,0,ACC10040,HSBC,Cyprus,Loan Repayment,272665.39,GBP,REF54336,Consultancy Fee,High-Risk Jurisdiction,1
TX100048,2023-09-12,12:14:19,Tuesday,September,Q3,ACC10032,Entity_032,LLP,Retail,Metro Bank,UK,Medium,1,ACC10033,Barclays,Germany,Wire Transfer,9941.41,GBP,REF81804,Repayment,Structuring,1
TX100049,2023-03-25,08:00:45,Saturday,March,Q1,ACC10026,Entity_026,Trust,Retail,Santander UK,UK,Low,0,ACC10084,NatWest,France,CHAPS,10000,GBP,REF23081,Investment,Round Number,1
TX100050,2023-07-06,16:40:04,Thursday,July,Q3,ACC10094,Entity_094,Individual,Manufacturing,HSBC,UK,Medium,0,ACC10072,NatWest,Malta,Standing Order,18459.39,GBP,REF46375,Loan Payment,None,0
TX100051,2023-04-05,18:35:34,Wednesday,April,Q2,ACC10055,Entity_055,Charity,Finance,NatWest,UK,Low,0,ACC10076,Monzo,USA,FX Settlement,11119.02,AED,REF71208,Repayment,None,0
TX100052,2023-05-06,16:01:47,Saturday,May,Q2,ACC10083,Entity_083,Trust,Real Estate,Lloyds,France,Medium,0,ACC10105,HSBC,Malta,Wire Transfer,121.02,GBP,REF28871,Intercompany Transfer,None,0
TX100053,2023-10-02,15:11:09,Monday,October,Q4,ACC10003,Entity_003,LLP,Retail,Virgin Money,UK,Low,0,ACC10119,Santander UK,UK,CHAPS,370.43,GBP,REF26307,Consultancy Fee,None,0
TX100054,2023-01-06,15:29:17,Friday,January,Q1,ACC10019,Entity_019,SME,Finance,Lloyds,UK,Low,0,ACC10106,Metro Bank,Germany,Loan Repayment,250000,USD,REF20336,Intercompany Transfer,Round Number,1
TX100055,2023-09-16,13:47:08,Saturday,September,Q3,ACC10072,Entity_072,Charity,Manufacturing,NatWest,Malta,Low,0,ACC10105,HSBC,Malta,Loan Repayment,766638.03,GBP,REF87504,Property Purchase,None,0
TX100056,2023-08-20,09:06:55,Sunday,August,Q3,ACC10069,Entity_069,SME,Manufacturing,Santander UK,UK,Low,0,ACC10107,Monzo,UK,BACS,6204.89,GBP,REF13357,Unknown,None,0
TX100057,2023-07-03,11:50:37,Monday,July,Q3,ACC10031,Entity_031,SME,Retail,Lloyds,USA,Low,0,ACC10020,Lloyds,UK,Wire Transfer,1279.5,USD,REF96962,Loan Payment,None,0
TX100058,2023-08-03,11:10:04,Thursday,August,Q3,ACC10090,Entity_090,Individual,Import/Export,Monzo,UK,Medium,0,ACC10052,Lloyds,UK,Wire Transfer,524432.45,GBP,REF95396,Loan Payment,None,0
TX100059,2023-05-31,09:33:45,Wednesday,May,Q2,ACC10016,Entity_016,Partnership,Finance,HSBC,Isle of Man,Low,0,ACC10110,Metro Bank,UK,Wire Transfer,3733.46,USD,REF54519,Trade Settlement,None,0
TX100060,2023-05-26,09:46:56,Friday,May,Q2,ACC10114,Entity_114,Individual,Construction,Santander UK,Netherlands,Medium,0,ACC10080,Lloyds,UAE,SWIFT,282.18,USD,REF72730,Repayment,None,0
TX100061,2023-11-29,15:51:24,Wednesday,November,Q4,ACC10086,Entity_086,Trust,Real Estate,HSBC,UK,High,0,ACC10022,Santander UK,UK,BACS,10976.23,USD,REF31344,Consultancy Fee,None,0
TX100062,2023-01-27,10:23:24,Friday,January,Q1,ACC10054,Entity_054,Individual,Finance,Santander UK,UK,Low,0,ACC10113,Metro Bank,UAE,Loan Disbursement,905.72,GBP,REF21384,Repayment,None,0
TX100063,2023-01-25,16:29:26,Wednesday,January,Q1,ACC10003,Entity_003,LLP,Retail,Virgin Money,UK,Low,0,ACC10088,Virgin Money,BVI,Wire Transfer,1754.85,GBP,REF22123,Dividend,None,0
TX100064,2023-10-25,15:02:41,Wednesday,October,Q4,ACC10096,Entity_096,Trust,Retail,NatWest,Isle of Man,Medium,1,ACC10030,TSB,UK,Internal Transfer,751.21,GBP,REF45948,Consultancy Fee,None,0
TX100065,2023-11-05,13:54:18,Sunday,November,Q4,ACC10089,Entity_089,Individual,Hospitality,Metro Bank,Cayman Islands,Medium,0,ACC10000,Santander UK,UAE,CHAPS,390.11,GBP,REF82432,Intercompany Transfer,None,0
TX100066,2023-02-20,10:55:41,Monday,February,Q1,ACC10067,Entity_067,SPV,Retail,Barclays,UK,Low,0,ACC10039,Virgin Money,BVI,FX Settlement,1915.07,EUR,REF71932,Property Purchase,None,0
TX100067,2023-11-22,16:35:39,Wednesday,November,Q4,ACC10068,Entity_068,Trust,Retail,Santander UK,UK,Medium,0,ACC10113,Metro Bank,UAE,Standing Order,562.88,GBP,REF81528,Consultancy Fee,None,0
TX100068,2023-09-12,14:55:10,Tuesday,September,Q3,ACC10084,Entity_084,Corporate,Manufacturing,NatWest,France,Low,0,ACC10106,Metro Bank,Germany,FX Settlement,17855.33,USD,REF14173,Loan Payment,None,0
TX100069,2023-04-11,18:43:58,Tuesday,April,Q2,ACC10042,Entity_042,Partnership,Import/Export,NatWest,BVI,Low,0,ACC10081,Virgin Money,Panama,Loan Disbursement,477339.89,EUR,REF10560,Consultancy Fee,High-Risk Jurisdiction,1
TX100070,2023-06-28,17:15:19,Wednesday,June,Q2,ACC10072,Entity_072,Charity,Manufacturing,NatWest,Malta,Low,0,ACC10003,Virgin Money,UK,Standing Order,3814.14,GBP,REF26072,Repayment,None,0
TX100071,2023-02-22,10:35:10,Wednesday,February,Q1,ACC10026,Entity_026,Trust,Retail,Santander UK,UK,Low,0,ACC10099,Metro Bank,BVI,Standing Order,974.28,GBP,REF98079,Intercompany Transfer,None,0
TX100072,2023-08-12,08:42:02,Saturday,August,Q3,ACC10114,Entity_114,Individual,Construction,Santander UK,Netherlands,Medium,0,ACC10116,Metro Bank,UK,CHAPS,325626.94,AED,REF52680,Consultancy Fee,None,0
TX100073,2023-12-31,09:16:54,Sunday,December,Q4,ACC10112,Entity_112,Charity,Import/Export,Barclays,UK,Low,0,ACC10065,Santander UK,UK,FX Settlement,268.37,GBP,REF79646,Repayment,None,0
TX100074,2023-03-16,16:45:18,Thursday,March,Q1,ACC10058,Entity_058,SPV,Import/Export,Starling,Singapore,High,0,ACC10026,Santander UK,UK,Standing Order,250000,GBP,REF46345,Intercompany Transfer,Round Number,1
TX100075,2023-01-31,16:51:18,Tuesday,January,Q1,ACC10026,Entity_026,Trust,Retail,Santander UK,UK,Low,0,ACC10071,TSB,UK,Loan Repayment,182.89,GBP,REF74484,Intercompany Transfer,None,0
TX100076,2023-03-05,08:36:03,Sunday,March,Q1,ACC10071,Entity_071,SME,Professional Services,TSB,UK,Low,0,ACC10074,HSBC,UK,Internal Transfer,304.94,GBP,REF55301,Consultancy Fee,None,0
TX100077,2023-12-05,15:16:47,Tuesday,December,Q4,ACC10009,Entity_009,Trust,Hospitality,Starling,Panama,Low,0,ACC10079,Lloyds,UK,CHAPS,138796.71,GBP,REF19449,Repayment,None,0
TX100078,2023-07-12,09:05:16,Wednesday,July,Q3,ACC10068,Entity_068,Trust,Retail,Santander UK,UK,Medium,0,ACC10083,Lloyds,France,BACS,871697.74,EUR,REF52616,Repayment,None,0
TX100079,2023-12-29,17:46:17,Friday,December,Q4,ACC10065,Entity_065,LLP,Hospitality,Santander UK,UK,Medium,0,ACC10023,NatWest,Cyprus,CHAPS,393.48,EUR,REF30266,Intercompany Transfer,None,0
TX100080,2023-05-15,18:17:07,Monday,May,Q2,ACC10030,Entity_030,Individual,Hospitality,TSB,UK,High,0,ACC10005,Metro Bank,UK,SWIFT,523951.52,GBP,REF71026,Trade Settlement,None,0
TX100081,2023-06-25,15:38:27,Sunday,June,Q2,ACC10069,Entity_069,SME,Manufacturing,Santander UK,UK,Low,0,ACC10105,HSBC,Malta,FX Settlement,183531.97,GBP,REF11349,Investment,None,0
TX100082,2023-04-23,08:48:33,Sunday,April,Q2,ACC10023,Entity_023,Trust,Logistics,NatWest,Cyprus,Medium,0,ACC10052,Lloyds,UK,BACS,371230.42,USD,REF73087,Trade Settlement,None,0
TX100083,2023-10-21,11:55:43,Saturday,October,Q4,ACC10051,Entity_051,SME,Hospitality,TSB,Cyprus,Low,0,ACC10103,NatWest,UK,FX Settlement,573591.97,GBP,REF79925,Loan Payment,None,0
TX100084,2023-07-20,17:50:15,Thursday,July,Q3,ACC10041,Entity_041,Trust,Hospitality,Metro Bank,UK,Low,0,ACC10021,HSBC,Malta,Loan Disbursement,74716.32,EUR,REF72709,Loan Payment,None,0
TX100085,2023-04-16,15:01:35,Sunday,April,Q2,ACC10009,Entity_009,Trust,Hospitality,Starling,Panama,Low,0,ACC10094,HSBC,UK,Loan Disbursement,394076.42,GBP,REF69455,Investment,None,0
TX100086,2023-02-28,13:01:52,Tuesday,February,Q1,ACC10051,Entity_051,SME,Hospitality,TSB,Cyprus,Low,0,ACC10081,Virgin Money,UK,SWIFT,41431.81,GBP,REF76909,Investment,None,0
TX100087,2023-01-28,15:20:17,Saturday,January,Q1,ACC10106,Entity_106,SPV,Import/Export,Metro Bank,Germany,Medium,0,ACC10047,HSBC,UK,Wire Transfer,200.91,USD,REF89370,Repayment,None,0
TX100088,2023-03-29,16:12:47,Wednesday,March,Q1,ACC10050,Entity_050,SME,Logistics,Santander UK,UK,Low,0,ACC10076,Monzo,USA,Standing Order,10040.9,EUR,REF88084,Investment,None,0
TX100089,2023-12-11,10:35:07,Monday,December,Q4,ACC10060,Entity_060,SPV,Finance,Starling,Cyprus,Low,0,ACC10111,Starling,UK,Wire Transfer,164487.69,GBP,REF47951,Property Purchase,None,0
TX100090,2023-06-26,14:06:14,Monday,June,Q2,ACC10047,Entity_047,SME,Retail,HSBC,UK,Low,0,ACC10061,Lloyds,Netherlands,CHAPS,250000,GBP,REF46260,Consultancy Fee,Round Number,1
TX100091,2023-07-03,17:05:15,Monday,July,Q3,ACC10099,Entity_099,Charity,Manufacturing,Metro Bank,BVI,Medium,0,ACC10018,HSBC,UK,SWIFT,961178.79,GBP,REF47734,Unknown,None,0
TX100092,2023-09-12,17:56:21,Tuesday,September,Q3,ACC10034,Entity_034,Individual,Finance,HSBC,UK,Low,0,ACC10064,Santander UK,UK,BACS,484591.65,GBP,REF94348,Consultancy Fee,None,0
TX100093,2023-12-20,14:32:52,Wednesday,December,Q4,ACC10028,Entity_028,Charity,Real Estate,NatWest,UK,Medium,0,ACC10013,HSBC,UK,SWIFT,106776.75,EUR,REF58610,Property Purchase,None,0
TX100094,2023-12-29,16:50:38,Friday,December,Q4,ACC10113,Entity_113,LLP,Professional Services,Metro Bank,UAE,Low,0,ACC10074,HSBC,UK,FX Settlement,813393.22,USD,REF44486,Trade Settlement,None,0
TX100095,2023-07-09,08:17:21,Sunday,July,Q3,ACC10009,Entity_009,Trust,Hospitality,Starling,Panama,Low,0,ACC10027,HSBC,UK,BACS,1175224.48,GBP,REF15423,Consultancy Fee,None,0
TX100096,2023-05-04,15:47:48,Thursday,May,Q2,ACC10042,Entity_042,Partnership,Import/Export,NatWest,BVI,Low,0,ACC10019,Lloyds,UK,Loan Repayment,256487.03,GBP,REF15988,Consultancy Fee,None,0
TX100097,2023-08-28,14:48:53,Monday,August,Q3,ACC10045,Entity_045,Partnership,Import/Export,NatWest,Singapore,Medium,0,ACC10004,Starling,UK,Loan Disbursement,89034.28,GBP,REF79164,Loan Payment,None,0
TX100098,2023-05-03,11:13:29,Wednesday,May,Q2,ACC10117,Entity_117,Individual,Hospitality,Barclays,UK,Low,0,ACC10111,Starling,UK,SWIFT,124180.07,EUR,REF56567,Investment,None,0
TX100099,2023-08-16,15:09:42,Wednesday,August,Q3,ACC10009,Entity_009,Trust,Hospitality,Starling,Panama,Low,0,ACC10108,Santander UK,UK,Loan Disbursement,2161.34,GBP,REF95436,Trade Settlement,None,0
TX100100,2023-06-05,10:56:26,Monday,June,Q2,ACC10051,Entity_051,SME,Hospitality,TSB,Cyprus,Low,0,ACC10113,Metro Bank,UAE,Loan Disbursement,1132460.17,GBP,REF61372,Investment,None,0
TX100101,2023-09-06,16:52:30,Wednesday,September,Q3,ACC10093,Entity_093,SPV,Construction,Metro Bank,UK,Low,0,ACC10117,Barclays,UK,CHAPS,966835.71,GBP,REF26407,Unknown,None,0
TX100102,2023-07-06,16:38:16,Thursday,July,Q3,ACC10026,Entity_026,Trust,Retail,Santander UK,UK,Low,0,ACC10010,Monzo,France,CHAPS,9509.78,USD,REF24191,Consultancy Fee,Structuring,1
TX100103,2023-08-02,09:53:58,Wednesday,August,Q3,ACC10084,Entity_084,Corporate,Manufacturing,NatWest,France,Low,0,ACC10040,HSBC,UK,FX Settlement,1805.06,GBP,REF87866,Repayment,None,0
TX100104,2023-04-04,14:11:43,Tuesday,April,Q2,ACC10094,Entity_094,Individual,Manufacturing,HSBC,UK,Medium,0,ACC10016,HSBC,Isle of Man,Internal Transfer,1925.5,EUR,REF45609,Loan Payment,None,0
TX100105,2023-11-02,11:53:03,Thursday,November,Q4,ACC10107,Entity_107,LLP,Hospitality,Monzo,UK,Low,0,ACC10063,Starling,UK,Wire Transfer,170.8,GBP,REF34356,Trade Settlement,None,0
TX100106,2023-07-11,11:50:21,Tuesday,July,Q3,ACC10017,Entity_017,Individual,Finance,NatWest,UK,Low,0,ACC10067,Barclays,UK,SWIFT,10000,GBP,REF37927,Unknown,Round Number,1
TX100107,2023-08-11,14:25:05,Friday,August,Q3,ACC10119,Entity_119,Corporate,Real Estate,Santander UK,UK,Low,0,ACC10036,TSB,UK,FX Settlement,99711.29,GBP,REF76402,Loan Payment,None,0
TX100108,2023-04-21,11:43:34,Friday,April,Q2,ACC10079,Entity_079,SME,Professional Services,Lloyds,UK,High,0,ACC10088,Virgin Money,BVI,SWIFT,15627.91,GBP,REF56082,Investment,None,0
TX100109,2023-11-28,11:39:34,Tuesday,November,Q4,ACC10041,Entity_041,Trust,Hospitality,Metro Bank,UK,Low,0,ACC10036,TSB,UK,SWIFT,94970.88,GBP,REF16542,Unknown,Benford Anomaly,1
TX100110,2023-03-03,18:49:01,Friday,March,Q1,ACC10047,Entity_047,SME,Retail,HSBC,UK,Low,0,ACC10014,Virgin Money,Singapore,Standing Order,379.86,GBP,REF66302,Loan Payment,None,0
TX100111,2023-12-22,13:12:56,Friday,December,Q4,ACC10113,Entity_113,LLP,Professional Services,Metro Bank,UAE,Low,0,ACC10034,HSBC,UK,BACS,185.11,USD,REF66587,Investment,None,0
TX100112,2023-03-28,18:52:34,Tuesday,March,Q1,ACC10069,Entity_069,SME,Manufacturing,Santander UK,UK,Low,0,ACC10086,HSBC,UK,SWIFT,168.08,GBP,REF84261,Investment,None,0
TX100113,2023-06-30,14:54:58,Friday,June,Q2,ACC10117,Entity_117,Individual,Hospitality,Barclays,UK,Low,0,ACC10095,Starling,UAE,BACS,313597.1,GBP,REF61472,Trade Settlement,None,0
TX100114,2023-06-29,10:41:44,Thursday,June,Q2,ACC10032,Entity_032,LLP,Retail,Metro Bank,UK,Medium,1,ACC10058,Starling,Singapore,Standing Order,15484.21,GBP,REF40673,Consultancy Fee,None,0
TX100115,2023-12-28,16:21:48,Thursday,December,Q4,ACC10011,Entity_011,Individual,Retail,Metro Bank,Singapore,High,0,ACC10009,Starling,Panama,Standing Order,334518.65,GBP,REF39854,Consultancy Fee,None,0
TX100116,2023-10-28,09:02:26,Saturday,October,Q4,ACC10004,Entity_004,SPV,Technology,Starling,UK,Low,0,ACC10013,HSBC,UK,CHAPS,35378.29,GBP,REF20133,Loan Payment,None,0
TX100117,2023-07-29,16:45:57,Saturday,July,Q3,ACC10112,Entity_112,Charity,Import/Export,Barclays,UK,Low,0,ACC10108,Santander UK,UK,BACS,675956.87,GBP,REF17380,Dividend,None,0
TX100118,2023-12-15,09:16:08,Friday,December,Q4,ACC10117,Entity_117,Individual,Hospitality,Barclays,UK,Low,0,ACC10081,Virgin Money,UK,Standing Order,9760.89,GBP,REF46625,Property Purchase,Structuring,1
TX100119,2023-10-03,14:52:20,Tuesday,October,Q4,ACC10109,Entity_109,SME,Logistics,Lloyds,UK,Medium,1,ACC10045,NatWest,Singapore,Internal Transfer,11341.49,GBP,REF37728,Unknown,None,0
TX100120,2023-06-09,15:56:58,Friday,June,Q2,ACC10064,Entity_064,SPV,Finance,Santander UK,UK,Low,0,ACC10037,Virgin Money,Malta,SWIFT,1914.72,GBP,REF23367,Consultancy Fee,None,0
TX100121,2023-03-16,10:56:23,Thursday,March,Q1,ACC10031,Entity_031,SME,Retail,Lloyds,USA,Low,0,ACC10005,Metro Bank,UK,SWIFT,1933.43,AED,REF16320,Intercompany Transfer,None,0
TX100122,2023-05-11,13:01:24,Thursday,May,Q2,ACC10104,Entity_104,Corporate,Logistics,Starling,Netherlands,Medium,0,ACC10052,Lloyds,UK,Internal Transfer,3029.89,GBP,REF38368,Intercompany Transfer,None,0
